cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
2394,Cnpy1,1.7996304,3.3968081,29987.824,3.6821268,158.49637,202.34653,217.50432,0.12602535
2395,Cnpy1,1.0880858,3.6488638,29808.309,3.5596673,157.55026,202.398,217.53093,0.12602535
2396,Cnpy1,0.37772802,4.1468635,29616.742,3.643151,156.54047,202.45503,217.56166,0.12602535
2397,Cnpy1,0.49219105,7.013642,29490.703,6.0928173,155.87386,202.5132,217.60648,0.12602535
2398,Cnpy1,0.0,4.4651275,29512.477,3.732134,155.99083,202.48653,217.5789,0.12602535
2399,Cnpy1,0.0,4.646557,29502.832,3.8837695,155.93985,202.4907,217.58199,0.12602535
2400,Cnpy1,1.6860744,3.6244118,29949.057,3.819231,158.29189,202.359,217.51175,0.12602535
2401,Cnpy1,1.0040565,9.899876,29455.63,8.744919,155.68648,202.54628,217.63916,0.12602535
2402,Cnpy1,3.708752,9.814417,30089.207,9.940452,159.02483,202.37054,217.55281,0.12602535
2403,Cnpy1,3.9004564,9.178305,30168.502,9.498407,159.4432,202.34367,217.53604,0.12602535
2404,Cnpy1,3.5008261,8.641843,30103.69,8.86294,159.10217,202.3571,217.53954,0.12602535
2405,Cnpy1,4.840962,2.8686528,30733.967,4.662764,162.42838,202.139,217.39992,0.12602535
2406,Cnpy1,1.6476183,12.306228,29476.438,11.057668,155.79396,202.55992,217.65959,0.12602535
2407,Cnpy1,0.58027905,1.866888,29785.51,1.8323044,157.43173,202.3899,217.51677,0.12602535
2408,Cnpy1,0.49139827,0.64792186,29830.08,0.7717386,157.66766,202.36774,217.49896,0.12602535
2409,Cnpy1,2.2501159,5.7915516,29964.389,5.894861,158.37074,202.3723,217.53065,0.12602535
2410,Cnpy1,0.0,6.9217706,29382.13,5.7852793,155.30188,202.5427,217.6204,0.12602535
2411,Cnpy1,5.6413527,29.019018,29510.775,26.896288,155.96,202.68655,217.8165,0.12602535
2412,Cnpy1,4.697013,15.184216,30031.408,14.891659,158.7155,202.4298,217.61247,0.12602535
2413,Cnpy1,4.0927486,12.528541,30032.938,12.388956,158.72592,202.40791,217.5866,0.12602535
2414,Cnpy1,7.5645423,16.719898,30624.068,17.516785,161.83694,202.28064,217.54837,0.12602535
2415,Cnpy1,37.375862,167.53914,29334.63,157.47348,154.90651,204.0137,219.23543,0.12602535
2416,Cnpy1,0.31804332,9.504375,29318.566,8.092711,154.96466,202.5813,217.654,0.12602535
2417,Cnpy1,5.607105,24.285736,29755.387,22.924858,157.25305,202.57945,217.73761,0.12602535
2418,Cnpy1,1.292369,9.275078,29555.436,8.357902,156.21289,202.51346,217.61954,0.12602535
2419,Cnpy1,8.425153,7.074111,31361.375,9.852742,165.73071,202.00479,217.35841,0.12602535
2420,Cnpy1,1.8066909,8.78806,29700.588,8.1918745,156.9781,202.46928,217.59517,0.12602535
2421,Cnpy1,2.6162014,4.693512,30109.195,5.1483026,159.1347,202.32367,217.50061,0.12602535
2422,Cnpy1,5.858332,12.390414,30455.76,13.099517,160.95395,202.29129,217.52881,0.12602535
