cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
38,gene_A,1.2127249,10.985725,5.813486,13.078017,1.851879,3.289429,3.3705728,0.062166654,38,0,10.985725419490986,1.3840026198383018
39,gene_A,1.3954575,10.275524,6.5135045,12.778507,2.064685,3.2749522,3.3563967,0.062166654,39,0,10.275524171128266,1.2806840129988601
40,gene_A,1.2200384,10.889762,5.8512897,13.001186,1.8640186,3.288229,3.3694987,0.062166654,40,0,10.889761480747161,1.2882972006651012
41,gene_A,0.91641104,10.276608,4.862122,11.771509,1.5743281,3.296421,3.380264,0.062166654,41,0,10.27660875317425,0.9489507113274737
42,gene_A,1.1457912,10.825588,5.6003428,12.782941,1.789838,3.2906814,3.372546,0.062166654,42,0,10.825588460785381,1.0080415220278107
43,gene_A,1.3044311,10.186258,6.2341237,12.502061,1.9843374,3.2781053,3.3601341,0.062166654,43,0,10.186258159939253,1.1384701306020375
44,gene_A,1.0869915,9.938985,5.5061407,11.807182,1.7697204,3.2847888,3.368634,0.062166654,44,0,9.938985523647226,1.1362743537703408
45,gene_A,0.9955599,9.563304,5.244122,11.253578,1.6957775,3.284995,3.3700826,0.062166654,45,0,9.56330368779007,0.6772946386633195
46,gene_A,1.1514753,8.919227,5.8629713,10.962813,1.8854564,3.2724447,3.3576324,0.062166654,46,0,8.919226540611461,0.6786672334057754
47,gene_A,1.0226835,8.2125845,5.50303,10.0135565,1.7847011,3.2710793,3.358323,0.062166654,47,0,8.212584512894269,0.7137307613893034
48,gene_A,1.0453796,8.517254,5.543101,10.353863,1.7938168,3.2730072,3.3595815,0.062166654,48,0,8.517253399582996,0.6802798510764545
49,gene_A,1.2272903,9.734475,6.0260286,11.905703,1.9267501,3.2770598,3.360345,0.062166654,49,0,9.734475696687706,0.8826343875289429
50,gene_A,1.1393806,10.410838,5.628809,12.370924,1.8019533,3.2870588,3.3697143,0.062166654,50,0,10.410837206951626,0.9907480407240915
51,gene_A,1.2560167,10.405774,6.0412836,12.611573,1.9252218,3.2822106,3.3641217,0.062166654,51,0,10.405774418297113,0.8415176524017158
52,gene_A,1.3070244,10.984395,6.148459,13.275281,1.9520972,3.2855265,3.3660696,0.062166654,52,0,10.984395342292665,0.8883154298220493
53,gene_A,1.4586774,10.411349,6.684104,13.041191,2.1117718,3.273248,3.3543603,0.062166654,53,0,10.411349383039179,0.8061955294051065
54,gene_A,1.4301251,11.836289,6.458909,14.353543,2.0360303,3.2881365,3.3663023,0.062166654,54,0,11.836288995616163,0.7909345825697912
55,gene_A,1.1932399,11.558319,5.6751304,13.587197,1.8056383,3.2955923,3.375842,0.062166654,55,0,11.558317876465775,0.864362484014443
56,gene_A,0.8690446,11.663014,4.4827895,13.001692,1.4458045,3.3140337,3.394611,0.062166654,56,0,11.663014444017652,0.8966756528111122
57,gene_A,0.7873515,10.710537,4.295343,11.915059,1.3969073,3.3096128,3.3913114,0.062166654,57,0,10.710536276145902,0.7991497627781571
58,gene_A,0.7392733,9.964234,4.210242,11.097717,1.377486,3.3051589,3.387824,0.062166654,58,0,9.964234207196073,0.9236783102399541
59,gene_A,1.017075,10.193816,5.2405353,11.904344,1.689058,3.290056,3.3738916,0.062166654,59,0,10.193816660073406,1.0380812251550435
60,gene_A,0.8896584,10.113089,4.7837124,11.558135,1.5520297,3.296399,3.3805168,0.062166654,60,0,10.113088713615495,0.9701327881420727
61,gene_A,0.84842205,10.796221,4.5258946,12.126469,1.4669389,3.3061953,3.3885398,0.062166654,61,0,10.796221085854064,1.162287764903678
62,gene_A,0.70650464,11.097948,3.916119,12.115347,1.2767738,3.3208413,3.399183,0.062166654,62,0,11.09794813315874,1.0328851258556933
63,gene_A,0.75525856,11.494728,4.052755,12.599151,1.3151267,3.3211029,3.3997068,0.062166654,63,0,11.49472748140717,1.1566106368759481
64,gene_A,0.64564,10.437032,3.7708137,11.35273,1.2382653,3.3186328,3.3971453,0.062166654,64,0,10.43703218002084,1.2695948065758935
65,gene_A,0.4764,10.031703,3.1921535,10.6038,1.0664656,3.3286104,3.4032865,0.062166654,65,0,10.031702789976222,1.2457357038272385
66,gene_A,0.25355995,10.293859,2.436485,10.37461,0.8424888,3.3509448,3.417931,0.062166654,66,0,10.293858241583047,1.2520034822328872
67,gene_A,0.27639785,10.459196,2.4876833,10.58199,0.85570425,3.3508189,3.4180362,0.062166654,67,0,10.459195882090839,0.6509549416754458
68,gene_A,0.5843377,9.981912,3.593406,10.786441,1.1879706,3.3188045,3.3968205,0.062166654,68,0,9.981911932056956,0.5848371212408465
69,gene_A,0.746543,8.723218,4.4329443,9.9227705,1.4581845,3.2907906,3.3771818,0.062166654,69,0,8.72321833884627,0.8792167617957394
70,gene_A,0.76656866,8.322824,4.573545,9.580928,1.5052302,3.28524,3.372738,0.062166654,70,0,8.322823313720676,1.1442821604132727
71,gene_A,0.824083,7.7441044,4.8768053,9.146491,1.6030315,3.2754962,3.3645082,0.062166654,71,0,7.744104238500912,1.3806542918181126
72,gene_A,0.92930806,7.417439,5.2805543,9.054066,1.7259141,3.267606,3.356794,0.062166654,72,0,7.417439033672815,1.2631778908472067
73,gene_A,1.3348334,7.3659444,6.6159377,9.852703,2.1174774,3.2522163,3.3392906,0.062166654,73,0,7.365943795398055,1.5010319031960238
74,gene_A,1.2842524,7.220072,6.4917903,9.606995,2.0843956,3.2527208,3.3400922,0.062166654,74,0,7.220071228746261,1.5737597492235682
75,gene_A,0.9324248,7.2160525,5.3141913,8.867304,1.7375715,3.2656624,3.355162,0.062166654,75,0,7.216052650690013,1.3992969826716435
76,gene_A,1.0288854,6.557084,5.723494,8.436478,1.864663,3.255865,3.3457975,0.062166654,76,0,6.557084257438829,1.0916914359837668
77,gene_A,1.1507683,6.529443,6.1555214,8.664351,1.9937458,3.2510662,3.3402503,0.062166654,77,0,6.52944239041927,1.2998329144828484
78,gene_A,0.8807012,6.3926234,5.2414107,7.968476,1.7237059,3.2602475,3.351475,0.062166654,78,0,6.392623598349907,1.3116296899932887
79,gene_A,0.8586414,6.387203,5.1703095,7.9170265,1.7029709,3.2610686,3.3524592,0.062166654,79,0,6.387203861581284,1.2764687180623215
80,gene_A,0.7223235,6.5408316,4.6747665,7.7786307,1.5539706,3.269378,3.3606343,0.062166654,80,0,6.540832020181233,1.0734920854311305
81,gene_A,0.5563803,6.4711475,4.0260735,7.363701,1.3555837,3.2811103,3.3691833,0.062166654,81,0,6.471147734952616,1.5063954566453537
82,gene_A,0.46218514,6.822713,3.6056232,7.5018215,1.2235444,3.2930408,3.3772573,0.062166654,82,0,6.822712701663113,1.2146856983646446
83,gene_A,0.5965023,5.482823,4.3458037,6.5005317,1.4639955,3.2669508,3.3590798,0.062166654,83,0,5.4828228966283294,1.3306228935480489
84,gene_A,0.35173085,5.183755,3.4256835,5.6994143,1.1849416,3.2840838,3.369931,0.062166654,84,0,5.183754917177277,1.680536281516345
85,gene_A,0.4890923,4.8699517,4.001386,5.6882415,1.3635916,3.2691789,3.3599823,0.062166654,85,0,4.869951627761011,1.3654310183218499
86,gene_A,0.45149854,4.7174606,3.8753881,5.4632654,1.3264264,3.270638,3.360796,0.062166654,86,0,4.717460425324952,1.3866800287077818
87,gene_A,0.5485306,4.40053,4.3195696,5.362748,1.4665067,3.259077,3.3529851,0.062166654,87,0,4.400529955615547,1.0519049544430403
88,gene_A,0.78037155,4.1517525,5.189108,5.6081886,1.7298039,3.2437747,3.3393106,0.062166654,88,0,4.151752504509348,0.9410801049718077
89,gene_A,0.4994813,4.002835,4.178725,4.87914,1.4267694,3.2588027,3.3524501,0.062166654,89,0,4.002835005921779,1.0459675608284218
90,gene_A,0.6387012,4.366492,4.678994,5.5183144,1.5768294,3.2522488,3.3476768,0.062166654,90,0,4.3664916704774495,1.1018224295935382
