gene_name,epoch,loss
Foxa2,109,0.03636601
Foxj1,9,0.17422621
Foxj1,19,0.200003
Foxj1,29,0.16256395
Foxj1,39,0.20947213
Foxj1,49,0.15658219
Foxj1,59,0.21522465
Foxj1,69,0.15519
Foxj1,79,0.108361416
Foxj1,89,0.108641185
Foxj1,99,0.16618794
Foxj1,109,0.092450574
Foxj1,119,0.12137267
Foxj1,129,0.11796084
Foxj1,139,0.09362091
Fzd5,9,0.2402174
Fzd5,19,0.29566318
Fzd5,29,0.3413586
Fzd5,39,0.32940924
Gli3,9,0.1332429
Gli3,19,0.14103234
Gli3,29,0.14462563
Gli3,39,0.15476057
Gsx2,9,0.117376804
Gsx2,19,0.07084254
Gsx2,29,0.084825166
Gsx2,39,0.098278195
Gsx2,49,0.09369262
Hes3,9,0.1140078
Hes3,19,0.0864782
Hes3,29,0.088416085
Hes3,39,0.1102253
Hes3,49,0.1183297
Hopx,9,0.20190829
Hopx,19,0.24143536
Hopx,29,0.2773538
Hopx,39,0.18416385
Hopx,49,0.26772362
Hopx,59,0.20163065
Hopx,69,0.19857755
Hoxb1,9,0.18023251
Hoxb1,19,0.51226395
Hoxb1,29,0.36105657
Hoxb1,39,0.24019128
Igfbp5,9,0.062731266
Igfbp5,19,0.060428433
Igfbp5,29,0.060084548
Igfbp5,39,0.06559804
Igfbp5,49,0.06817515
Igfbp5,59,0.058013987
Igfbp5,69,0.059523758
Igfbp5,79,0.06274597
Igfbp5,89,0.04802982
Igfbp5,99,0.06480296
Igfbp5,109,0.054866556
Igfbp5,119,0.06950688
Irs4,9,0.08823208
Irs4,19,0.0949985
Irs4,29,0.10802178
Irs4,39,0.0879054
Irs4,49,0.104988165
Irs4,59,0.08097048
Irs4,69,0.0730393
Irs4,79,0.076473415
Irs4,89,0.05970115
Irs4,99,0.04858686
Irs4,109,0.05334449
Irs4,119,0.063452855
Irs4,129,0.05670596
Irx1,9,0.07600332
Irx1,19,0.07963387
Irx1,29,0.054828785
Irx1,39,0.077169806
Irx1,49,0.050528336
Irx1,59,0.06446391
Irx1,69,0.0904434
Irx1,79,0.10842669
Irx3,9,0.064364
Irx3,19,0.037585344
Irx3,29,0.053199727
Irx3,39,0.04443664
Irx3,49,0.05933499
Irx5,9,0.20692566
Irx5,19,0.10760018
Irx5,29,0.07591532
Irx5,39,0.06288808
Irx5,49,0.083343476
Irx5,59,0.06393038
Irx5,69,0.074352145
Ism1,9,0.10449005
Ism1,19,0.21077427
Ism1,29,0.09258449
Ism1,39,0.123274416
Ism1,49,0.102637
Ism1,59,0.11924098
Klhl14,9,0.07423898
Klhl14,19,0.09946368
Klhl14,29,0.076108694
Klhl14,39,0.10292755
Lhx5,9,0.083122276
Lhx5,19,0.0988058
Lhx5,29,0.100309916
Lhx5,39,0.09802098
Lmo2,9,0.08614902
Lmo2,19,0.14977631
Lmo2,29,0.10146758
Lmo2,39,0.13742128
Lmx1a,9,0.10622289
Lmx1a,19,0.120394595
Lmx1a,29,0.103570245
Lmx1a,39,0.101452835
Lmx1a,49,0.110721365
Lmx1a,59,0.1125991
Lmx1a,69,0.09498965
Lmx1a,79,0.13179438
Lmx1a,89,0.124746166
Lmx1a,99,0.1158552
Lmx1b,9,0.14879946
Lmx1b,19,0.15963821
Lmx1b,29,0.12089464
Lmx1b,39,0.103873394
Lmx1b,49,0.1331601
Lmx1b,59,0.11374625
Lmx1b,69,0.17438856
Lrtm1,9,0.095476784
Lrtm1,19,0.14566416
Lrtm1,29,0.12347158
Lrtm1,39,0.1135731
Maf,9,0.15233378
Maf,19,0.16631262
Maf,29,0.1392624
Maf,39,0.15824836
Maf,49,0.14877462
Maf,59,0.15808475
Metrnl,9,0.12072385
Metrnl,19,0.13035992
Metrnl,29,0.09856534
Metrnl,39,0.09218843
Metrnl,49,0.09670991
Metrnl,59,0.09138204
Metrnl,69,0.119135916
Metrnl,79,0.117973626
Metrnl,89,0.12075043
Msx1,9,0.067632616
Msx1,19,0.08551559
Msx1,29,0.06496721
Msx1,39,0.08195922
Msx1,49,0.075261
Msx1,59,0.07533117
Msx2,9,0.13579804
Msx2,19,0.1107124
Msx2,29,0.07726605
Msx2,39,0.08136163
Msx2,49,0.097756974
Msx2,59,0.089308366
Msx3,9,0.10480067
Msx3,19,0.14148498
Msx3,29,0.07471575
Msx3,39,0.060965776
Msx3,49,0.041731928
Msx3,59,0.05134374
Msx3,69,0.10577192
Msx3,79,0.052121088
Ngf,9,0.5387089
Ngf,19,0.57879514
Ngf,29,0.571889
Ngf,39,0.4235758
Ngf,49,0.53644043
Ngf,59,0.5251299
Ngf,69,0.39509565
Ngf,79,0.42162624
Ngf,89,0.4292602
Ngf,99,0.41194978
Nkx2-1,9,0.11503491
Nkx2-1,19,0.10333352
Nkx2-1,29,0.09634902
Nkx2-1,39,0.105567895
Nkx2-1,49,0.09214064
Nkx2-1,59,0.10693072
Nkx2-1,69,0.09944193
Nkx2-1,79,0.10500937
Nkx2-2,9,0.08822498
Nkx2-2,19,0.090214536
Nkx2-2,29,0.12148948
Nkx2-2,39,0.10025148
Nkx2-9,9,0.15348634
Nkx2-9,19,0.06370764
Nkx2-9,29,0.010599447
Nkx2-9,39,0.016697371
Nkx2-9,49,0.0031507513
Nkx2-9,59,0.005541549
Nkx2-9,69,0.0023960886
Nkx2-9,79,0.039196283
Nkx2-9,89,0.0057947594
Nkx2-9,99,0.01633812
Nkx6-1,9,0.09733975
Nkx6-1,19,0.12397717
Nkx6-1,29,0.099416465
Nkx6-1,39,0.09429158
Nkx6-1,49,0.11963645
Nkx6-1,59,0.10730586
Nkx6-1,69,0.11772894
Nkx6-2,9,0.08849457
Nkx6-2,19,0.08806423
Nkx6-2,29,0.08777404
Nkx6-2,39,0.10586558
Nkx6-2,49,0.10506223
Nkx6-2,59,0.107831985
Nr2e1,9,0.075745426
Nr2e1,19,0.0820948
Nr2e1,29,0.08168201
Nr2e1,39,0.060962677
Nr2e1,49,0.064349376
Nr2e1,59,0.06890225
Nr2e1,69,0.065579146
Nrg1,9,0.11887153
Nrg1,19,0.1294721
Nrg1,29,0.18381085
Nrg1,39,0.11186226
Nrg1,49,0.105198324
Nrg1,59,0.092759274
Nrg1,69,0.11914817
Nrg1,79,0.11734158
Nrg1,89,0.1366628
Nrg3,9,0.08666536
Nrg3,19,0.059206348
Nrg3,29,0.08965531
Nrg3,39,0.079977155
Nrg3,49,0.079910874
Ntf3,9,0.19548969
Ntf3,19,0.13723922
Ntf3,29,0.17277798
Ntf3,39,0.11641839
Ntf3,49,0.13366753
Ntf3,59,0.13910861
Ntf3,69,0.15293062
Ntn1,9,0.09365253
Ntn1,19,0.09040458
Ntn1,29,0.097930446
Ntn1,39,0.074613735
Ntn1,49,0.09620304
Ntn1,59,0.08424843
Ntn1,69,0.11024704
Ostm1,9,0.09977208
Ostm1,19,0.06280138
